class   coords1   coords2   coords3   coords4   confidence_value   objectID
56 0.572254 0.879336 0.360516 0.240264 0.667345 11
56 0.242295 0.763175 0.120909 0.228121 0.616187 13

0 0.518534 0.680916 0.408757 0.629424 0.721303 12
0 0.82576 0.693277 0.243733 0.612405 0.841748 8
56 0.597538 0.880035 0.358787 0.238999 0.558181 11
56 0.272264 0.748427 0.110961 0.19794 0.524404 13

0 0.544081 0.681364 0.406723 0.631711 0.655758 12
0 0.85058 0.693969 0.246204 0.61081 0.875341 8
56 0.62295 0.881114 0.355973 0.236835 0.74321 11
56 0.30179 0.746682 0.114189 0.19481 0.562696 13

0 0.608178 0.603094 0.315345 0.484073 0.751782 12
0 0.879932 0.687062 0.240135 0.601867 0.591908 8
56 0.666638 0.880729 0.358175 0.23792 0.651735 11
56 0.34903 0.741794 0.11601 0.188173 0.610316 13

0 0.666428 0.574334 0.277186 0.42043 0.78688 12
0 0.901723 0.643736 0.196554 0.51835 0.778766 8
56 0.713431 0.882573 0.354554 0.234059 0.654783 11
56 0.39743 0.741915 0.119559 0.185888 0.525734 13
56 0.744619 0.732499 0.165779 0.0778852 0.624504 15

0 0.679354 0.65015 0.371974 0.572753 0.824573 12
0 0.915227 0.637824 0.169547 0.506708 0.741815 8
56 0.744919 0.884364 0.351068 0.230403 0.743314 11
56 0.429412 0.775584 0.16374 0.256783 0.654384 13
56 0.772029 0.735966 0.169029 0.0793313 0.66485 15
0 0.115099 0.684101 0.230197 0.628033 0.663374 16
56 0.802789 0.736086 0.118069 0.0824203 0.677731 17

0 0.183806 0.707801 0.367611 0.582375 0.948253 1
0 0.443973 0.894118 0.164386 0.210356 0.871378 2

0 0.704926 0.66723 0.397331 0.619542 0.725172 12
0 0.928213 0.629574 0.143573 0.501117 0.487387 8
56 0.780865 0.882243 0.359187 0.234512 0.760561 11
56 0.459458 0.781957 0.172673 0.271749 0.812961 13
56 0.809701 0.731572 0.180983 0.0849395 0.544452 15
0 0.114319 0.608573 0.183744 0.479892 0.629268 16

0 0.758725 0.601297 0.320885 0.489276 0.711728 12
56 0.811758 0.885531 0.351194 0.228009 0.485592 11
56 0.497264 0.759207 0.146705 0.221292 0.423692 13
56 0.853629 0.737958 0.183612 0.0861844 0.41308 15

0 0.801041 0.571046 0.291787 0.435978 0.595909 12
56 0.828882 0.886576 0.342236 0.225913 0.506474 11
56 0.529234 0.750056 0.138595 0.201507 0.563147 13
56 0.893286 0.7408 0.189825 0.0890617 0.475151 15
0 0.168089 0.593788 0.170984 0.438954 0.591427 16

0 0.810742 0.644696 0.378516 0.577728 0.854162 12
56 0.838209 0.889283 0.323583 0.220482 0.61567 11
56 0.55252 0.801643 0.202274 0.299804 0.837785 13
56 0.911887 0.748814 0.176225 0.087342 0.483153 15
0 0.117488 0.514904 0.220971 0.97017 0.746926 20
0 0.191457 0.59323 0.172914 0.43439 0.84212 16

0 0.807073 0.667586 0.385855 0.62054 0.869469 12
56 0.840815 0.889172 0.31837 0.220668 0.592524 11
56 0.562223 0.815184 0.221188 0.33444 0.832108 13
0 0.119418 0.51136 0.222919 0.977275 0.764936 20
0 0.198461 0.591988 0.175135 0.429447 0.846963 16
63 0.274838 0.895047 0.204082 0.209689 0.854196 22

0 0.803953 0.673326 0.392094 0.643416 0.865124 12
56 0.840654 0.887463 0.318691 0.224064 0.582066 11
56 0.563937 0.813461 0.220567 0.337617 0.826525 13
0 0.161433 0.517576 0.223718 0.964847 0.557037 20
0 0.198353 0.585135 0.177024 0.421992 0.870832 16
63 0.280416 0.88358 0.225957 0.23279 0.641208 22

0 0.802633 0.675658 0.394734 0.648684 0.874381 12
56 0.840571 0.886868 0.318858 0.225418 0.649365 11
56 0.56299 0.805952 0.211258 0.325604 0.773871 13
0 0.160693 0.523605 0.224258 0.952789 0.630404 20
0 0.197133 0.584546 0.181274 0.420147 0.868909 16
63 0.277591 0.869196 0.253579 0.261608 0.535812 22

0 0.801145 0.673339 0.397711 0.653323 0.869811 12
56 0.840613 0.886656 0.318775 0.225843 0.601496 11
56 0.561275 0.798961 0.20737 0.322868 0.796541 13
0 0.197469 0.524783 0.231987 0.949481 0.700081 20
0 0.196973 0.587454 0.18919 0.428023 0.846393 16

0 0.800562 0.673206 0.398876 0.653588 0.877523 12
56 0.840634 0.886717 0.318732 0.225731 0.686602 11
56 0.558604 0.795496 0.200246 0.314303 0.675418 13
0 0.197033 0.526593 0.238741 0.945556 0.67686 20
0 0.197118 0.573219 0.181063 0.395451 0.844276 16
0 0.218026 0.751863 0.436052 0.492124 0.808417 22

0 0.799865 0.671066 0.40027 0.657867 0.885884 12
56 0.839191 0.884627 0.321618 0.229925 0.675377 11
0 0.197389 0.552086 0.170348 0.356586 0.811283 16
0 0.227121 0.726309 0.454242 0.538052 0.810577 22

0 0.183483 0.70709 0.366966 0.583799 0.94232 1
0 0.44232 0.894217 0.164924 0.210161 0.871528 2

0 0.799449 0.671531 0.401101 0.656938 0.881214 12
56 0.840726 0.886688 0.318549 0.225737 0.68259 11
0 0.199126 0.539371 0.163759 0.327014 0.7677 16
0 0.233145 0.717584 0.46629 0.553889 0.725721 22

0 0.799673 0.672142 0.400654 0.655715 0.879961 12
56 0.84031 0.886037 0.31938 0.22704 0.617917 11
0 0.200096 0.52784 0.159782 0.303751 0.749034 16
0 0.238461 0.714734 0.476922 0.559329 0.756735 22

0 0.799437 0.672296 0.401126 0.655409 0.860492 12
56 0.840709 0.886485 0.318582 0.226159 0.432238 11
0 0.199995 0.521391 0.159198 0.288468 0.550466 16
0 0.242175 0.713028 0.48435 0.563531 0.815917 22

0 0.79888 0.671153 0.40224 0.657694 0.864 12
56 0.839912 0.885202 0.320176 0.228702 0.739674 11
0 0.201144 0.515471 0.161475 0.279535 0.714964 16
0 0.251677 0.711428 0.503353 0.567951 0.737398 22

0 0.799094 0.670251 0.401812 0.659498 0.875492 12
56 0.840303 0.885631 0.319394 0.227819 0.649884 11
0 0.200531 0.511695 0.164208 0.272088 0.713638 16
0 0.27874 0.713506 0.533494 0.565026 0.740834 22
56 0.538729 0.814165 0.195069 0.269686 0.545507 24

0 0.799329 0.671012 0.401341 0.657977 0.866135 12
56 0.840901 0.886552 0.318197 0.225927 0.574451 11
0 0.19985 0.511035 0.169888 0.27098 0.733425 16
0 0.293673 0.715761 0.53813 0.561328 0.715556 22
56 0.538411 0.809943 0.196654 0.272315 0.489243 24
67 0.483929 0.545329 0.114912 0.280383 0.726879 25

0 0.799289 0.670506 0.401423 0.658988 0.833471 12
56 0.840561 0.885798 0.318877 0.227502 0.613098 11
0 0.198323 0.509003 0.173235 0.266451 0.725461 16
0 0.288356 0.713506 0.54624 0.565973 0.634239 22
56 0.538183 0.803644 0.204583 0.284243 0.821924 24
67 0.474914 0.536816 0.114949 0.280504 0.846683 25

0 0.799074 0.669897 0.401852 0.659416 0.803253 12
56 0.840177 0.885112 0.319645 0.228925 0.717915 11
0 0.198096 0.507316 0.177591 0.26407 0.7779 16
0 0.26479 0.714373 0.529581 0.564195 0.63891 22
56 0.540277 0.808435 0.22446 0.314684 0.837419 24
67 0.466373 0.526536 0.114059 0.278021 0.801262 25

0 0.799466 0.671095 0.401067 0.654603 0.86799 12
56 0.840462 0.885739 0.319077 0.227767 0.590998 11
0 0.197328 0.508327 0.183146 0.264382 0.728882 16
0 0.25445 0.716537 0.5089 0.560403 0.622651 22
56 0.539836 0.8 0.217302 0.306933 0.844605 24
67 0.458761 0.521745 0.114641 0.279088 0.801413 25

0 0.798966 0.669839 0.402069 0.658328 0.863985 12
56 0.840889 0.886111 0.318221 0.226948 0.652802 11
0 0.196011 0.507124 0.186707 0.262197 0.67818 16
0 0.248617 0.718732 0.497234 0.556992 0.695342 22
56 0.53987 0.803087 0.223534 0.319461 0.843197 24
67 0.45466 0.518426 0.115395 0.28028 0.782701 25

0 0.183328 0.70588 0.366656 0.586227 0.943239 1
0 0.441054 0.894244 0.165605 0.210107 0.864926 2

0 0.798173 0.669286 0.403655 0.661428 0.866965 12
56 0.840738 0.885698 0.318523 0.227742 0.7466 11
0 0.195287 0.505604 0.189495 0.259552 0.59358 16
0 0.245122 0.720897 0.490244 0.553302 0.709002 22
56 0.539744 0.80823 0.229659 0.333082 0.837246 24
67 0.451391 0.5129 0.115584 0.27946 0.719679 25

0 0.79821 0.668904 0.40358 0.662192 0.859547 12
56 0.840716 0.885499 0.318569 0.228091 0.622381 11
0 0.194561 0.505219 0.192756 0.258185 0.662861 16
0 0.245145 0.721205 0.490289 0.552959 0.695827 22
56 0.540053 0.800912 0.219413 0.321931 0.852306 24
67 0.447751 0.509854 0.116892 0.281166 0.711695 25

0 0.798301 0.668421 0.403398 0.663158 0.871282 12
56 0.841342 0.886416 0.317316 0.226221 0.58705 11
0 0.194679 0.50584 0.196764 0.2581 0.491087 16
0 0.243542 0.722338 0.487084 0.551279 0.656979 22
56 0.53891 0.810519 0.224362 0.334619 0.831395 24
67 0.446021 0.509254 0.118112 0.282596 0.744503 25

0 0.798418 0.668544 0.403164 0.662911 0.835148 12
